tokens_stemmed,bobot_nilai_total,label
"['direktur', 'eksekutif', 'poltracking', 'indonesia', 'hanta', 'yuda', 'ar', 'prediksi', 'paslon', 'khofifahemil', 'menang', 'pilgub', 'jatim', 'oleh', 'kisar', 'persen', 'kutip', 'youtube', 'poltracking']",6,positif
"['pasang', 'khofifah', 'emil', 'peluang', 'menang', 'pilgub', 'jawa', 'timur', 'beliau', 'lawan', 'eks', 'menteri', 'sosial', 'risma', 'an', 'eks', 'anggota', 'dpr', 'ri', 'luluk']",-5,negatif
"['pasang', 'khofifah', 'indar', 'parawansa', 'emil', 'dardak', 'peluang', 'menang', 'pilih', 'gubernur', 'jawa', 'timur', 'khofifah', 'lawan', 'eks', 'menteri', 'sosial', 'tri', 'rismaharini', 'eks', 'anggota', 'dpr', 'ri', 'luluk', 'nur', 'hamidah']",-7,negatif
"['ribu', 'kerja', 'pt', 'integra', 'indocabinet', 'sambut', 'datang', 'calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'kawasan', 'sedat', 'sidoarjo', 'rabu', 'sore']",-3,negatif
"['survei', 'poltracking', 'khofifahemil', 'peluang', 'menang', 'tebal', 'pilgub', 'jatim']",-1,negatif
"['survei', 'arci', 'khofifahemil', 'sapu', 'bersih', 'daerah', 'mataraman', 'rismagus', 'hans', 'susah', 'kerek']",-6,negatif
"['kpu', 'kota', 'probolinggo', 'gelar', 'media', 'gadthering', 'siap', 'debat', 'publik', 'tiga', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'rabu']",1,positif
"['perempuan', 'muda', 'gabung', 'aliansi', 'melati', 'putih', 'sejawa', 'timur', 'solid', 'tingkat', 'signifikansi', 'menang', 'khofifahemil', 'pilgub', 'jatim']",-16,negatif
"['h', 'coblos', 'dukung', 'elemen', 'masyarakat', 'calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'tambah']",7,positif
"['lanjut', 'bu', 'khofifah', 'gubernur', 'prestasi', 'perhati', 'rakyat', 'jujur', 'ramah', 'lanjut', 'periode', 'pilih', 'nomor', 'teriak', 'rahayah', 'koordinator', 'kerja', 'sekar', 'laut']",4,positif
"['lanjut', 'bu', 'khofifah', 'gubernur', 'prestasi', 'perhati', 'rakyat', 'jujur', 'ramah', 'lanjut', 'periode', 'pilih', 'nomor', 'teriak', 'rahayah', 'koordinator', 'kerja', 'sekar', 'laut']",4,positif
"['calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'sapa', 'karyawan', 'kerupuk', 'finna', 'pt', 'sekar', 'laut', 'kawasan', 'jenggolo', 'sidoarjo', 'rabu']",8,positif
"['undang', 'kampanye', 'akbar', 'buka', 'masyarakat', 'surabaya', 'jawa', 'timur']",5,positif
"['jatim', 'periode', 'pimpin', 'khofifah', 'emil', 'kelola', 'juta', 'ton', 'sampah']",-2,negatif
"['tiga', 'paslon', 'paham', 'isu', 'perspektif', 'gender', 'bangun', 'iya', 'mbak', 'luluk', 'rekk', 'bospurwa', 'mdyasmara', 'yusufdumdum', 'firzahusain', 'jhonsitorus']",-1,negatif
"['komitmen', 'kuat', 'gubernur', 'wakil', 'gubernur', 'bangun', 'jawa', 'timur', 'modern', 'selasa', 'november']",2,positif
"['komitmen', 'kuat', 'gubernur', 'wakil', 'gubernur', 'bangun', 'jawa', 'timur', 'modern', 'selasa', 'november']",2,positif
"['hasil', 'khofifah', 'emil', 'pacu', 'maju', 'jawa', 'timur', 'nilai', 'dampak', 'elektoral', 'dorong', 'kalang', 'pilih', 'khofifahemil', 'periode']",3,positif
"['bagus', 'tinggal', 'terus', 'depan', 'jawa', 'timur', 'seksi', 'posisi', 'jakarta', 'sisi', 'investasi', 'yusak']",-7,negatif
"['khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'pacu', 'maju', 'jawa', 'timur', 'nilai', 'dampak', 'elektoral', 'dorong', 'kalang', 'pilih', 'khofifahemil', 'periode']",0,netral
"['emil', 'dardak', 'ungkap', 'khofifah', 'indar', 'parawansa', 'tolak', 'tawar', 'investasi', 'nilai', 'khawatir', 'dampak', 'buruk', 'lingkung']",-15,negatif
"['emil', 'elestianto', 'dardak', 'ungkap', 'khofifah', 'indar', 'parawansa', 'tolak', 'tawar', 'investasi', 'nilai', 'khawatir', 'dampak', 'buruk', 'lingkung']",-15,negatif
"['investasi', 'bawa', 'manfaat', 'semangat', 'lanjut']",3,positif
"['hasto', 'rasa', 'arus', 'dukung', 'rismagus', 'hans', 'target', 'menang']",1,positif
"['pasang', 'calon', 'paslon', 'gubernurwakil', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'kokoh', 'pasang', 'nomor', 'urut', 'unggul', 'lembaga', 'survei', 'teliti', 'kembang', 'kompas', 'lsi', 'indikator', 'politik', 'poltracking']",4,positif
"['kualitas', 'bangett', 'closing', 'statement', 'nya']",2,positif
"['sehat', 'bu', 'khofifah']",3,positif
['pilih'],-2,negatif
"['sungguh', 'mulia', 'bu', 'khofifah']",3,positif
"['bu', 'khofifah', 'baik']",2,positif
"['calon', 'wakil', 'gubernur', 'cawagub', 'jawa', 'timur', 'jatim', 'adu', 'gagas', 'bangun', 'sarana', 'transportasi', 'krl', 'debat', 'publik', 'pilgun', 'jatim', 'tiga', 'grand', 'city', 'surabaya', 'senin']",0,netral
"['khofifahemil', 'jawa', 'timur', 'maju', 'prestasi', 'm']",0,netral
"['mbak', 'luluk', 'hadir', 'ibuibu', 'cilik', 'bospurwa', 'mdyasmara', 'yusufdumdum', 'firzahusain', 'bdoel']",-1,negatif
"['sekretaris', 'jenderal', 'pdip', 'puji', 'habis', 'gagas', 'moncer', 'rismagus', 'hans', 'khofifah']",4,positif
"['debat', 'gelar', 'grand', 'city', 'surabaya', 'times', 'tv', 'times', 'indonesia', 'tayang', 'ajang', 'adu', 'ide', 'gagas', 'paslon', 'buka', 'jajak', 'dapat', 'polling']",5,positif
"['khofifah', 'indar', 'parawansa', 'emil', 'elestianto', 'dardak', 'komitmen', 'jadi', 'jatim', 'gerbang', 'nusantara']",-1,negatif
"['khofifah', 'bangun', 'infrastruktur', 'komitmen', 'tingkat', 'konektivitas']",1,positif
"['khofifah', 'indar', 'parawansa', 'emil', 'elestianto', 'dardak', 'komitmen', 'jadi', 'jatim', 'gerbang', 'nusantara']",-1,negatif
"['khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'tampil', 'gemilang', 'debat', 'pungkas', 'pilgub', 'jatim', 'nilai', 'milik', 'kompetensi', 'mumpuni', 'alam', 'bukti']",8,positif
"['kpu', 'kota', 'probolinggo', 'selamat', 'suksestanwir', 'milad', 'muhammadiyah', 'hadir', 'makmur']",7,positif
"['hasto', 'turun', 'dukung', 'debat', 'pamungkas', 'risma', 'apbd', 'jatim', 'sehat']",8,positif
"['emil', 'dardak', 'bu', 'khofifah', 'tolak', 'tambang', 'rusak', 'lingkung', 'pangan']",-5,negatif
"['khofifahemil', 'fokus', 'lebar', 'jalan', 'nasional', 'probolinggolumajang']",1,positif
"['khofifah', 'merespon', 'tanggap', 'paslon', 'nomor', 'urut', 'kelola', 'sampah']",2,positif
"['khofifahemil', 'visi', 'misi', 'sdm', 'jawa', 'timur', 'milik', 'kompetensi']",6,positif
"['jatim', 'debat', 'publik', 'gelar', 'malam', 'survei', 'nomor', 'angin', 'menang', 'salah', 'simak', 'debat', 'sumber', 'video', 'kpu', 'jatim']",0,netral
"['semangat', 'doa', 'dukung', 'alir', 'masyarakat', 'khofifahemil', 'foto', 'pasar', 'minggu', 'kampung', 'wonocolo', 'surabaya', 'minggu']",10,positif
"['rumah', 'kader', 'pks', 'menang', 'khofifahemil', 'arumi']",2,positif
"['pilih', 'kepala', 'daerah', 'serentak', 'wapres', 'gibran', 'dukung', 'paslon', 'gubernur', 'jawa', 'timur', 'khofifahemil', 'dardak', 'protes']",2,positif
"['jalan', 'sehat', 'bareng', 'rismagus', 'hans', 'eriarmuji', 'warga', 'surabaya', 'tumplek', 'blek']",3,positif
"['luluk', 'pegang', 'keris', 'tegas', 'peran', 'perempuan', 'sejarah', 'budaya']",-6,negatif
"['dar', 'tugas', 'partai', 'pdip']",-1,negatif
"['jatim', 'juara', 'korupsi', 'eks', 'ketua', 'kpk', 'dukung', 'rismagus', 'hans']",-3,negatif
"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'jumat']",2,positif
"['gencar', 'serang', 'khofifah', 'panggung', 'debat', 'elektabilitas', 'luluk', 'tenggelam']",-1,negatif
"['bismillah', 'niat', 'in', 'shaa', 'allah', 'jatim', 'gubernur', 'jatim', 'toto', 'tentrem', 'kerto', 'raharjo', 'gemah', 'ripah', 'loh', 'jawi']",9,positif
"['ojo', 'lali', 'arek', 'jatim', 'anak', 'abah', 'ojo', 'salah', 'pilih', 'iya', 'eling', 'nomor']",-10,negatif
"['calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'sambang', 'pasar', 'jumat', 'legi', 'desa', 'jogosatru', 'camat', 'sukodono', 'kabupaten', 'sidoarjo']",4,positif
"['video', 'megawati', 'ultimatum', 'kader', 'pdip', 'menang', 'rismagus', 'hans', 'nurut', 'out']",-1,negatif
"['deklarasi', 'dukung', 'tenaga', 'sehat', 'muda', 'jatim', 'khofifahemil', 'jatim', 'sehat', 'sejahtera']",8,positif
"['khofifah', 'tegas', 'birokrasi', 'jatim', 'transparan']",3,positif
"['kpu', 'kota', 'probolinggo', 'gelar', 'media', 'gathering', 'siap', 'depat', 'publik', 'pilih', 'wali', 'wakil', 'wali', 'kota', 'probolinggo', 'rabu']",-1,negatif
"['khofifah', 'dukung', 'tenaga', 'sehat', 'tegas', 'komitmen', 'bidang', 'sehat', 'jawa', 'timur']",13,positif
"['ketua', 'pcnu', 'magetan', 'kh', 'susanto', 'khoirul', 'fatwa', 'doa', 'khofifahemil', 'lanjut', 'pimpin', 'jatim', 'periode']",-3,negatif
"['mas', 'lin', 'damping', 'khofifah', 'shalawat', 'akbar', 'tegas', 'dukung', 'bumi', 'shalawat', 'menang', 'khofifah', 'emil']",4,positif
"['adu', 'visi', 'misi', 'cagub', 'jatim', 'jago']",2,positif
"['luluk', 'birokrasi', 'transparan', 'orang']",3,positif
"['anakogi', 'presiden', 'prabowo', 'ngakunya', 'macan', 'asia', 'kucing', 'solo', 'nurut', 'blaaas', 'jokowi', 'nurut', 'takut', 'sandera', 'korupsi', 'hahaha']",-2,negatif
"['kpu', 'kota', 'probolinggo', 'ikut', 'rapat', 'monitoring', 'evaluasi', 'kesiap', 'selenggara', 'pilih', 'serentak', 'selasa']",-2,negatif
"['megawati', 'ultimatum', 'kader', 'pdip', 'menang', 'rismagus', 'hans', 'nurut', 'sila', 'out']",-4,negatif
"['khofifah', 'indar', 'parawansa', 'lanjut', 'blusukan', 'pasar', 'kalianak', 'surabaya']",-3,negatif
"['bersholawat', 'pondok', 'pesantren', 'bumi', 'sholawat', 'lebo', 'sidoarjo', 'asuh', 'kh', 'agus', 'ali', 'masyhur']",0,netral
"['survei', 'baru', 'pilgub', 'jatim', 'elektabilitas', 'khofifahemil', 'kokoh']",0,netral
"['langkah', 'luluk', 'dekat', 'anies', 'nilai', 'kuat', 'dukung', 'anak', 'abah']",9,positif
"['khofifahemil', 'unggul', 'survei', 'lsi', 'denny', 'pimpin', 'jatim']",0,netral
"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'satu', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'jumat']",4,positif
"['luluk', 'sindir', 'keras', 'khofifah', 'gubernur', 'kantor', 'diobrakabrik', 'kpk']",-3,negatif
"['foto', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",6,positif
"['dokumentasi', 'foto', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",6,positif
"['terimakasih', 'warga', 'jember', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",8,positif
"['hasil', 'foto', 'drone', 'media', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu', 'hadir', 'ribu', 'warga', 'jawa', 'timur']",8,positif
"['anies', 'baswedan', 'temu', 'luluk', 'anak', 'abah', 'pilih', 'pilgub', 'jatim']",0,netral
"['usaha', 'jasa', 'konstruksi', 'banyuwangi', 'solid', 'dukung', 'khofifahemil', 'wujud', 'jatim', 'maju', 'kuat']",6,positif
"['khofifahemil', 'tampil', 'jember', 'pamer', 'prestasi', 'dukung', 'warga', 'jatim', 'kuat', 'gemilang']",-2,negatif
"['riah', 'penuh', 'semangat', 'khofifahemil', 'jadi', 'jawa', 'timur', 'prestasi', 'terima', 'kasih', 'jember']",8,positif
"['sama', 'semangat', 'ribu', 'dukung', 'jember', 'jawa', 'timur', 'maju', 'khofifahemil']",10,positif
"['terima', 'kasih', 'jember', 'kampanye', 'akbar', 'penuh', 'sama', 'semangat', 'jawa', 'timur']",12,positif
"['suasana', 'riah', 'guyur', 'hujan', 'ribu', 'masyarakat', 'jember', 'khofifahemil', 'jawa', 'timur']",6,positif
"['dukung', 'ribu', 'dukung', 'jember', 'semangat', 'jatim', 'maju', 'bendung']",8,positif
"['kpu', 'kota', 'probolinggo', 'gelar', 'bimbing', 'teknis', 'tata', 'isi', 'c', 'hasil', 'proses', 'mungut', 'hitung', 'suara', 'tps', 'pilih', 'serentak', 'minggu']",4,positif
"['terima', 'kasih', 'masyarakat', 'jember', 'jawa', 'timur', 'hadir', 'semarak', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",8,positif
"['ultimatum', 'keras', 'cak', 'imin', 'kader', 'pkb', 'menang', 'luluklukman', 'pecat']",-6,negatif
"['frustasi', 'tertawa', 'edar', 'video', 'tiktok', 'tampil', 'calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'klaim', 'bagi', 'bantu', 'dana', 'rp', 'juta', 'tiktok', 'menit']",5,positif
"['video', 'warga', 'jatim', 'kecoh', 'aplikasi', 'majadigi', 'lahir', 'era', 'khofifahemil']",-1,negatif
['haru'],0,netral
['kerennn'],0,netral
"['jatim', 'kerenn', 'habis']",0,netral
"['nyala', 'kuu']",0,netral
['tabarakallah'],0,netral
"['hadir', 'festival', 'anggur', 'krejengan', 'bu', 'khofifah', 'dukung', 'penuh', 'anggur', 'lambang', 'probolinggo']",-8,negatif
"['selamat', 'pahlawan', 'mari', 'lanjut', 'juang', 'semangat', 'kontribusi', 'nyata', 'bangsa']",10,positif
"['kpu', 'kota', 'probolinggo', 'gelar', 'upacara', 'ingat', 'pahlawan', 'november']",0,netral
"['kpu', 'kota', 'probolinggo', 'selamat', 'pahlawan', 'november']",4,positif
"['ribu', 'rawan', 'gus', 'ipul', 'nganjuk', 'deklarasi', 'dukung', 'penuh', 'khofifahemil', 'pilgub', 'jatim', 'wujud', 'jatim']",-2,negatif
"['mari', 'sama', 'jawa', 'timur', 'cantiq', 'kampanye', 'akbar', 'lum', 'mari', 'ramai', 'lulukhamidah']",10,positif
"['bangun', 'jawa', 'timur', 'semangat', 'mbak', 'lulukhamidah', 'mas', 'lukmanulkhakim']",3,positif
"['ayo', 'hadir', 'pesta', 'rakyat', 'jawa', 'timur', 'november', 'jember', 'sport', 'garden', 'kabupaten', 'jember', 'jahat', 'kelamin', 'wib']",0,netral
"['ayo', 'hadir', 'pesta', 'rakyat', 'jawa', 'timur', 'november', 'jember', 'sport', 'garden', 'kabupaten', 'jember', 'jahat', 'kelamin', 'wib']",0,netral
"['knapa', 'korupsi', 'gibrantweet', 'kaesangp', 'keluarga', 'jokowi', 'amp', 'kroni', 'proses', 'kpkri']",-1,negatif
"['khofifah', 'ajak', 'generasi', 'muda', 'cinta', 'lestari', 'budaya', 'wayang']",2,positif
"['wayang', 'ki', 'akbar', 'nganjuk', 'khofifah', 'terima', 'wayang', 'kresna', 'simbol', 'jaya']",6,positif
"['temu', 'tokoh', 'agama', 'majelis', 'agung', 'gkjw', 'khofifah', 'tegas', 'komitmen', 'rawat', 'agam', 'jawa', 'timur']",4,positif
"['marsruroh', 'wahid', 'ketua', 'muslimat', 'nu', 'komando', 'langsung', 'gerak', 'dukung', 'bu', 'khofifah', 'beliau', 'maju']",7,positif
"['kpu', 'kota', 'peobolinggo', 'gelar', 'media', 'gathering', 'siap', 'debat', 'publik', 'satu', 'pemiliban', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'jumat']",7,positif
"['juru', 'bicara', 'luluklukman', 'majadigi', 'emil', 'bodoh', 'publik', 'seolaholah', 'cipta', 'era']",0,netral
"['catat', 'iya', 'aplikasi', 'majadigi', 'luncur', 'adhy', 'karyono', 'lahir', 'era', 'khofifahemil']",-1,negatif
"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'satu', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo']",2,positif
"['diskusi', 'hangat', 'khofifah', 'tokoh', 'agama', 'gkjw', 'balewiyata', 'malang', 'bahas', 'rukun', 'umat', 'jawa', 'timur', 'harmonis', 'guyub']",0,netral
"['pesta', 'rakyat', 'jawa', 'timur', 'prestasi', 'november', 'sport', 'garden', 'wib', 'gasskeunnn']",4,positif
"['kpu', 'kota', 'probolinggo', 'ikut', 'bimbing', 'teknis', 'mantap', 'guna', 'aplikasi', 'uji', 'coba', 'sirekap', 'pilih', 'serentak', 'gelar', 'kpu', 'provinsi', 'seninrabu']",3,positif
"['amat', 'politik', 'khofifah', 'kuasa', 'debat', 'pilgub', 'jatim', 'kandidat']",9,positif
"['debat', 'khofifah', 'nilai', 'simpati', 'masyarakat', 'berkat', 'solusi', 'prospektif']",12,positif
"['debat', 'pilih', 'kepala', 'daerah', 'khofifah', 'raih', 'simpati', 'publik', 'tanggap', 'fakta', 'data', 'hadap', 'serang', 'luluk']",-4,negatif
"['khofifah', 'kunjung', 'sentra', 'bibit', 'buah', 'nganjuk', 'sukses', 'tembus', 'pasar', 'global']",5,positif
"['kpu', 'kota', 'probolinggo', 'selamat', 'sukses', 'iffa', 'rosita', 'mm', 'lantik', 'penggati', 'paw', 'anggota', 'kpu', 'republik', 'indonesia', 'periode']",7,positif
"['sindir', 'habis', 'khofifah', 'luluk', 'pasti', 'kantor', 'perintah', 'provinsi', 'jatim', 'geledah', 'kpk']",-3,negatif
"['berkalikali', 'patah', 'argumen', 'khofifah', 'panggung', 'debat', 'hasil', 'polling', 'luluk', 'lesat']",-2,negatif
"['usung', 'risma', 'cagub', 'jatim', 'hasto', 'megawati', 'duit', 'piro']",0,netral
"['video', 'teman', 'khofifah', 'kampanye', 'ketua', 'pdip', 'trenggalek', 'belabelain', 'seragam', 'muslimat', 'nu']",4,positif
"['debat', 'khofifah', 'nilai', 'simpati', 'masyarakat', 'solusi', 'prospektif']",11,positif
"['amat', 'tampil', 'khofifahemil', 'debat', 'cermin', 'sosok', 'birokrat', 'kompeten']",5,positif
"['khofifah', 'tegas', 'komitmen', 'cegah', 'korupsi', 'birokrasi', 'perintah', 'bersih', 'transparan']",-1,negatif
"['kerja', 'nyata', 'khofifahemil', 'periode', 'dorong', 'warga', 'pasar', 'atom', 'dukung']",11,positif
"['khofifah', 'dieluelukan', 'dagang', 'unjung', 'pasar', 'atom', 'surabaya', 'lanjut', 'pimpin']",0,netral
"['warga', 'tionghoa', 'surabaya', 'antusias', 'dukung', 'khofifah', 'harap', 'periode', 'maju', 'jawa', 'timur']",3,positif
"['kpu', 'kota', 'probolinggo', 'gelar', 'rapat', 'teknis', 'siap', 'debat', 'publik', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'senin']",-1,negatif
"['emil', 'dardak', 'tanggap', 'paslon', 'nomor', 'urut', 'data', 'fakta']",-3,negatif
"['khofifah', 'jatim', 'iklim', 'insvestasi', 'baik', 'indonesia', 'tingkat', 'anggur', 'rendah']",-6,negatif
"['khofifah', 'kan', 'hasil', 'perintah', 'provinsi', 'jatim', 'debat', 'pilih', 'kepala', 'daerah']",4,positif
"['kpu', 'kota', 'probolinggo', 'gelar', 'rapat', 'koordinasi', 'siap', 'debat', 'publik', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'minggu']",0,netral
"['kpu', 'kota', 'probolinggo', 'proses', 'sortir', 'lipat', 'surat', 'suara', 'pilih', 'gubernur', 'wakil', 'gubernur', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'sabtu']",-3,negatif
"['kpu', 'kota', 'probolinggo', 'terima', 'logistik', 'surat', 'suara', 'pilih', 'gubernur', 'wakil', 'gubernur', 'jawa', 'timur', 'kamis']",0,netral
"['khofifah', 'pamer', 'terima', 'harga', 'luluk', 'rakyat', 'jatim', 'miskin']",-3,negatif
"['salam', 'asli', 'palsu', 'komunitas', 'ojol', 'menang', 'rismagus', 'hans']",0,netral
"['damping', 'khofifah', 'kampanye', 'ipin', 'belabelain', 'pakai', 'baju', 'seragam', 'muslimat', 'nu']",7,positif
"['debat', 'pilgub', 'jatim', 'harap', 'gus', 'hans', 'debat', 'emil', 'lukman']",6,positif
"['luluk', 'senggol', 'khofifah', 'jelang', 'debat', 'jatim', 'ubah', 'gantiin']",6,positif
"['tepis', 'dukung', 'khofifah', 'ipin', 'target', 'rismagus', 'hans', 'menang', 'trenggalek']",3,positif
"['ipin', 'seragam', 'muslimat', 'nu', 'damping', 'khofifah', 'kampanye', 'gus', 'hans', 'wajar', 'kayak', 'eri', 'cahyadi']",0,netral
"['video', 'ketua', 'timses', 'rismagus', 'hans', 'blakblakan', 'jengkel', 'pdip']",-4,negatif
"['video', 'manuver', 'ketua', 'ansor', 'jatim', 'dukung', 'khofifah', 'baju', 'brigade', 'bunda']",1,positif
"['pdip', 'target', 'rismagus', 'hans', 'menang', 'tebal', 'surabaya', 'adi', 'sutarwijono']",1,positif
"['elektabilitas', 'khofifahemil', 'kokoh', 'angka', 'lawan', 'ngarep', 'kejar']",-8,negatif
"['hasto', 'lecut', 'urus', 'pdip', 'wilayah', 'juang', 'rismagus', 'hans', 'lawan', 'intimidasi']",-8,negatif
"['tani', 'bibit', 'durian', 'ripto', 'jatim', 'laju', 'khofifah', 'bantu', 'akses', 'modal', 'maju', 'tani']",0,netral
"['dukung', 'khofifahemil', 'kuat', 'ayo', 'maju', 'pencak', 'silat', 'jatim', 'cipta', 'atlet', 'hebat', 'prestasi']",7,positif
"['khofifah', 'kunjung', 'sentra', 'batik', 'sidoarjo', 'apresiasi', 'usaha', 'lokal']",-3,negatif
"['kerja', 'nyata', 'khofifahemil', 'dagang', 'pasar', 'wadung', 'asri', 'kompak', 'dukung']",9,positif
"['layan', 'sehat', 'gratis', 'pasar', 'keling', 'surabaya', 'khofifah', 'ramai', 'kerumun', 'warga']",2,positif
"['lsi', 'denny', 'khofifahemil', 'unggul', 'dukung', 'solid']",4,positif
"['dukung', 'dagang', 'pasar', 'wadung', 'asri', 'sidoarjo', 'kuat', 'peluang', 'khofifah']",4,positif
"['mas', 'ipin', 'khofifah', 'masyarakat', 'pasar', 'subuh', 'trenggalek', 'hangat']",1,positif
"['khofifah', 'borong', 'batik', 'sentra', 'batik', 'sidoarjo', 'dukung', 'produk', 'lokal']",8,positif
"['layan', 'sehat', 'gratis', 'khofifah', 'pasar', 'keling', 'surabaya', 'sambut', 'hangat', 'dagang']",8,positif
"['komitmen', 'bangun', 'infrastruktur', 'manfaat', 'masyarakat', 'patut', 'contoh']",2,positif
"['moga', 'khofifah', 'menang']",0,netral
"['bukti', 'depan']",-3,negatif
"['gubernur', 'ku', 'jatim', 'all', 'in', 'khofifah']",0,netral
"['daya', 'jatim', 'iya', 'bu']",0,netral
"['keren', 'dedikasi', 'tulus']",4,positif
"['kunjung', 'bangkal', 'risma', 'ziarah', 'makam', 'sultan', 'abdul', 'kadirun', 'calon', 'gubernur', 'jatim', 'tri', 'rismaharini', 'ziarah', 'makam', 'sultan', 'abdul', 'kadirun', 'bangkal', 'via', 'beritajatimcom']",-8,negatif
"['nyala', 'khoff', 'wayahe', 'jatim', 'cerdas']",0,netral
"['ero', 'dewe', 'gubenur', 'jatim', 'sopo']",0,netral
"['ingat', 'atas', 'ibuke', 'warga', 'jatim', 'cerdas']",-5,negatif
"['periode', 'wwrga', 'jatim']",0,netral
"['wayahe', 'jatim', 'cerdas']",0,netral
"['kpu', 'kota', 'probolinggo', 'ppk', 'kota', 'probolinggo', 'hadir', 'kosolidasi', 'wilayah', 'pulkada', 'serentak', 'gelar', 'kpu', 'provinsi', 'jawa', 'timur', 'selasarabu']",2,positif
['nyala'],0,netral
"['awan', 'cak']",0,netral
"['ero', 'dewekam', 'sopo', 'song', 'menang']",-1,negatif
"['bulan', 'kampanye', 'bawaslu', 'kota', 'diri', 'terima', 'lapor', 'duga', 'langgar', 'pilih', 'kepala', 'daerah']",4,positif
"['buseeett', 'lembaga', 'survey', 'menang', 'survei', 'baru', 'pilgub', 'jatim', 'elektabilitas', 'khofifahemil', 'kokoh', 'panas', 'najwa', 'shihab']",-3,negatif
"['luluk', 'ngiang', 'gubernur', 'jatim', 'diam', 'tani', 'tembakau', 'ancam', 'sindir', 'khofifah']",-12,negatif
