Unnamed: 0,tokens_stemmed,bobot_nilai_total,label,Prediksi_Naive_Bayes,Prediksi_Logistic_Regression
19,"['perempuan', 'muda', 'gabung', 'aliansi', 'melati', 'putih', 'sejawa', 'timur', 'solid', 'tingkat', 'signifikansi', 'menang', 'khofifahemil', 'pilgub', 'jatim']",-16,negatif,negatif,negatif
20,"['h', 'coblos', 'dukung', 'elemen', 'masyarakat', 'calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'tambah']",7,positif,positif,positif
21,"['lanjut', 'bu', 'khofifah', 'gubernur', 'prestasi', 'perhati', 'rakyat', 'jujur', 'ramah', 'lanjut', 'periode', 'pilih', 'nomor', 'teriak', 'rahayah', 'koordinator', 'kerja', 'sekar', 'laut']",4,positif,positif,positif
22,"['lanjut', 'bu', 'khofifah', 'gubernur', 'prestasi', 'perhati', 'rakyat', 'jujur', 'ramah', 'lanjut', 'periode', 'pilih', 'nomor', 'teriak', 'rahayah', 'koordinator', 'kerja', 'sekar', 'laut']",4,positif,positif,positif
23,"['calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'sapa', 'karyawan', 'kerupuk', 'finna', 'pt', 'sekar', 'laut', 'kawasan', 'jenggolo', 'sidoarjo', 'rabu']",8,positif,negatif,positif
24,"['undang', 'kampanye', 'akbar', 'buka', 'masyarakat', 'surabaya', 'jawa', 'timur']",5,positif,positif,positif
25,"['jatim', 'periode', 'pimpin', 'khofifah', 'emil', 'kelola', 'juta', 'ton', 'sampah']",-2,negatif,negatif,positif
26,"['tiga', 'paslon', 'paham', 'isu', 'perspektif', 'gender', 'bangun', 'iya', 'mbak', 'luluk', 'rekk', 'bospurwa', 'mdyasmara', 'yusufdumdum', 'firzahusain', 'jhonsitorus']",-1,negatif,negatif,negatif
27,"['komitmen', 'kuat', 'gubernur', 'wakil', 'gubernur', 'bangun', 'jawa', 'timur', 'modern', 'selasa', 'november']",2,positif,positif,positif
28,"['komitmen', 'kuat', 'gubernur', 'wakil', 'gubernur', 'bangun', 'jawa', 'timur', 'modern', 'selasa', 'november']",2,positif,positif,positif
29,"['hasil', 'khofifah', 'emil', 'pacu', 'maju', 'jawa', 'timur', 'nilai', 'dampak', 'elektoral', 'dorong', 'kalang', 'pilih', 'khofifahemil', 'periode']",3,positif,positif,netral
30,"['bagus', 'tinggal', 'terus', 'depan', 'jawa', 'timur', 'seksi', 'posisi', 'jakarta', 'sisi', 'investasi', 'yusak']",-7,negatif,negatif,negatif
31,"['khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'pacu', 'maju', 'jawa', 'timur', 'nilai', 'dampak', 'elektoral', 'dorong', 'kalang', 'pilih', 'khofifahemil', 'periode']",0,netral,positif,netral
32,"['emil', 'dardak', 'ungkap', 'khofifah', 'indar', 'parawansa', 'tolak', 'tawar', 'investasi', 'nilai', 'khawatir', 'dampak', 'buruk', 'lingkung']",-15,negatif,negatif,negatif
33,"['emil', 'elestianto', 'dardak', 'ungkap', 'khofifah', 'indar', 'parawansa', 'tolak', 'tawar', 'investasi', 'nilai', 'khawatir', 'dampak', 'buruk', 'lingkung']",-15,negatif,negatif,negatif
34,"['investasi', 'bawa', 'manfaat', 'semangat', 'lanjut']",3,positif,negatif,negatif
35,"['hasto', 'rasa', 'arus', 'dukung', 'rismagus', 'hans', 'target', 'menang']",1,positif,negatif,positif
36,"['pasang', 'calon', 'paslon', 'gubernurwakil', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'kokoh', 'pasang', 'nomor', 'urut', 'unggul', 'lembaga', 'survei', 'teliti', 'kembang', 'kompas', 'lsi', 'indikator', 'politik', 'poltracking']",4,positif,positif,positif
37,"['kualitas', 'bangett', 'closing', 'statement', 'nya']",2,positif,negatif,negatif
38,"['sehat', 'bu', 'khofifah']",3,positif,positif,positif
39,['pilih'],-2,negatif,negatif,negatif
40,"['sungguh', 'mulia', 'bu', 'khofifah']",3,positif,positif,positif
41,"['bu', 'khofifah', 'baik']",2,positif,positif,positif
42,"['calon', 'wakil', 'gubernur', 'cawagub', 'jawa', 'timur', 'jatim', 'adu', 'gagas', 'bangun', 'sarana', 'transportasi', 'krl', 'debat', 'publik', 'pilgun', 'jatim', 'tiga', 'grand', 'city', 'surabaya', 'senin']",0,netral,positif,netral
43,"['khofifahemil', 'jawa', 'timur', 'maju', 'prestasi', 'm']",0,netral,negatif,netral
44,"['mbak', 'luluk', 'hadir', 'ibuibu', 'cilik', 'bospurwa', 'mdyasmara', 'yusufdumdum', 'firzahusain', 'bdoel']",-1,negatif,negatif,negatif
45,"['sekretaris', 'jenderal', 'pdip', 'puji', 'habis', 'gagas', 'moncer', 'rismagus', 'hans', 'khofifah']",4,positif,negatif,negatif
46,"['debat', 'gelar', 'grand', 'city', 'surabaya', 'times', 'tv', 'times', 'indonesia', 'tayang', 'ajang', 'adu', 'ide', 'gagas', 'paslon', 'buka', 'jajak', 'dapat', 'polling']",5,positif,positif,positif
47,"['khofifah', 'indar', 'parawansa', 'emil', 'elestianto', 'dardak', 'komitmen', 'jadi', 'jatim', 'gerbang', 'nusantara']",-1,negatif,negatif,negatif
48,"['khofifah', 'bangun', 'infrastruktur', 'komitmen', 'tingkat', 'konektivitas']",1,positif,positif,positif
49,"['khofifah', 'indar', 'parawansa', 'emil', 'elestianto', 'dardak', 'komitmen', 'jadi', 'jatim', 'gerbang', 'nusantara']",-1,negatif,negatif,negatif
50,"['khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'tampil', 'gemilang', 'debat', 'pungkas', 'pilgub', 'jatim', 'nilai', 'milik', 'kompetensi', 'mumpuni', 'alam', 'bukti']",8,positif,positif,positif
51,"['kpu', 'kota', 'probolinggo', 'selamat', 'suksestanwir', 'milad', 'muhammadiyah', 'hadir', 'makmur']",7,positif,positif,positif
52,"['hasto', 'turun', 'dukung', 'debat', 'pamungkas', 'risma', 'apbd', 'jatim', 'sehat']",8,positif,positif,positif
53,"['emil', 'dardak', 'bu', 'khofifah', 'tolak', 'tambang', 'rusak', 'lingkung', 'pangan']",-5,negatif,negatif,positif
54,"['khofifahemil', 'fokus', 'lebar', 'jalan', 'nasional', 'probolinggolumajang']",1,positif,positif,positif
55,"['khofifah', 'merespon', 'tanggap', 'paslon', 'nomor', 'urut', 'kelola', 'sampah']",2,positif,negatif,negatif
56,"['khofifahemil', 'visi', 'misi', 'sdm', 'jawa', 'timur', 'milik', 'kompetensi']",6,positif,positif,positif
57,"['jatim', 'debat', 'publik', 'gelar', 'malam', 'survei', 'nomor', 'angin', 'menang', 'salah', 'simak', 'debat', 'sumber', 'video', 'kpu', 'jatim']",0,netral,positif,positif
58,"['semangat', 'doa', 'dukung', 'alir', 'masyarakat', 'khofifahemil', 'foto', 'pasar', 'minggu', 'kampung', 'wonocolo', 'surabaya', 'minggu']",10,positif,positif,positif
59,"['rumah', 'kader', 'pks', 'menang', 'khofifahemil', 'arumi']",2,positif,negatif,negatif
60,"['pilih', 'kepala', 'daerah', 'serentak', 'wapres', 'gibran', 'dukung', 'paslon', 'gubernur', 'jawa', 'timur', 'khofifahemil', 'dardak', 'protes']",2,positif,positif,positif
61,"['jalan', 'sehat', 'bareng', 'rismagus', 'hans', 'eriarmuji', 'warga', 'surabaya', 'tumplek', 'blek']",3,positif,positif,positif
62,"['luluk', 'pegang', 'keris', 'tegas', 'peran', 'perempuan', 'sejarah', 'budaya']",-6,negatif,negatif,negatif
63,"['dar', 'tugas', 'partai', 'pdip']",-1,negatif,negatif,negatif
64,"['jatim', 'juara', 'korupsi', 'eks', 'ketua', 'kpk', 'dukung', 'rismagus', 'hans']",-3,negatif,negatif,negatif
65,"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'jumat']",2,positif,positif,netral
66,"['gencar', 'serang', 'khofifah', 'panggung', 'debat', 'elektabilitas', 'luluk', 'tenggelam']",-1,negatif,negatif,positif
67,"['bismillah', 'niat', 'in', 'shaa', 'allah', 'jatim', 'gubernur', 'jatim', 'toto', 'tentrem', 'kerto', 'raharjo', 'gemah', 'ripah', 'loh', 'jawi']",9,positif,positif,positif
68,"['ojo', 'lali', 'arek', 'jatim', 'anak', 'abah', 'ojo', 'salah', 'pilih', 'iya', 'eling', 'nomor']",-10,negatif,negatif,negatif
69,"['calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'sambang', 'pasar', 'jumat', 'legi', 'desa', 'jogosatru', 'camat', 'sukodono', 'kabupaten', 'sidoarjo']",4,positif,negatif,positif
70,"['video', 'megawati', 'ultimatum', 'kader', 'pdip', 'menang', 'rismagus', 'hans', 'nurut', 'out']",-1,negatif,negatif,negatif
71,"['deklarasi', 'dukung', 'tenaga', 'sehat', 'muda', 'jatim', 'khofifahemil', 'jatim', 'sehat', 'sejahtera']",8,positif,positif,positif
72,"['khofifah', 'tegas', 'birokrasi', 'jatim', 'transparan']",3,positif,positif,positif
73,"['kpu', 'kota', 'probolinggo', 'gelar', 'media', 'gathering', 'siap', 'depat', 'publik', 'pilih', 'wali', 'wakil', 'wali', 'kota', 'probolinggo', 'rabu']",-1,negatif,positif,netral
74,"['khofifah', 'dukung', 'tenaga', 'sehat', 'tegas', 'komitmen', 'bidang', 'sehat', 'jawa', 'timur']",13,positif,positif,positif
75,"['ketua', 'pcnu', 'magetan', 'kh', 'susanto', 'khoirul', 'fatwa', 'doa', 'khofifahemil', 'lanjut', 'pimpin', 'jatim', 'periode']",-3,negatif,negatif,negatif
76,"['mas', 'lin', 'damping', 'khofifah', 'shalawat', 'akbar', 'tegas', 'dukung', 'bumi', 'shalawat', 'menang', 'khofifah', 'emil']",4,positif,positif,positif
77,"['adu', 'visi', 'misi', 'cagub', 'jatim', 'jago']",2,positif,positif,netral
78,"['luluk', 'birokrasi', 'transparan', 'orang']",3,positif,positif,positif
79,"['anakogi', 'presiden', 'prabowo', 'ngakunya', 'macan', 'asia', 'kucing', 'solo', 'nurut', 'blaaas', 'jokowi', 'nurut', 'takut', 'sandera', 'korupsi', 'hahaha']",-2,negatif,negatif,negatif
80,"['kpu', 'kota', 'probolinggo', 'ikut', 'rapat', 'monitoring', 'evaluasi', 'kesiap', 'selenggara', 'pilih', 'serentak', 'selasa']",-2,negatif,positif,positif
81,"['megawati', 'ultimatum', 'kader', 'pdip', 'menang', 'rismagus', 'hans', 'nurut', 'sila', 'out']",-4,negatif,negatif,negatif
82,"['khofifah', 'indar', 'parawansa', 'lanjut', 'blusukan', 'pasar', 'kalianak', 'surabaya']",-3,negatif,negatif,negatif
83,"['bersholawat', 'pondok', 'pesantren', 'bumi', 'sholawat', 'lebo', 'sidoarjo', 'asuh', 'kh', 'agus', 'ali', 'masyhur']",0,netral,negatif,negatif
84,"['survei', 'baru', 'pilgub', 'jatim', 'elektabilitas', 'khofifahemil', 'kokoh']",0,netral,positif,netral
85,"['langkah', 'luluk', 'dekat', 'anies', 'nilai', 'kuat', 'dukung', 'anak', 'abah']",9,positif,positif,positif
86,"['khofifahemil', 'unggul', 'survei', 'lsi', 'denny', 'pimpin', 'jatim']",0,netral,positif,positif
87,"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'satu', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'jumat']",4,positif,positif,netral
88,"['luluk', 'sindir', 'keras', 'khofifah', 'gubernur', 'kantor', 'diobrakabrik', 'kpk']",-3,negatif,negatif,negatif
89,"['foto', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",6,positif,positif,positif
90,"['dokumentasi', 'foto', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",6,positif,positif,positif
91,"['terimakasih', 'warga', 'jember', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",8,positif,positif,positif
92,"['hasil', 'foto', 'drone', 'media', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu', 'hadir', 'ribu', 'warga', 'jawa', 'timur']",8,positif,positif,positif
93,"['anies', 'baswedan', 'temu', 'luluk', 'anak', 'abah', 'pilih', 'pilgub', 'jatim']",0,netral,positif,netral
94,"['usaha', 'jasa', 'konstruksi', 'banyuwangi', 'solid', 'dukung', 'khofifahemil', 'wujud', 'jatim', 'maju', 'kuat']",6,positif,positif,positif
95,"['khofifahemil', 'tampil', 'jember', 'pamer', 'prestasi', 'dukung', 'warga', 'jatim', 'kuat', 'gemilang']",-2,negatif,negatif,positif
96,"['riah', 'penuh', 'semangat', 'khofifahemil', 'jadi', 'jawa', 'timur', 'prestasi', 'terima', 'kasih', 'jember']",8,positif,positif,positif
97,"['sama', 'semangat', 'ribu', 'dukung', 'jember', 'jawa', 'timur', 'maju', 'khofifahemil']",10,positif,positif,positif
98,"['terima', 'kasih', 'jember', 'kampanye', 'akbar', 'penuh', 'sama', 'semangat', 'jawa', 'timur']",12,positif,positif,positif
99,"['suasana', 'riah', 'guyur', 'hujan', 'ribu', 'masyarakat', 'jember', 'khofifahemil', 'jawa', 'timur']",6,positif,positif,positif
100,"['dukung', 'ribu', 'dukung', 'jember', 'semangat', 'jatim', 'maju', 'bendung']",8,positif,positif,positif
101,"['kpu', 'kota', 'probolinggo', 'gelar', 'bimbing', 'teknis', 'tata', 'isi', 'c', 'hasil', 'proses', 'mungut', 'hitung', 'suara', 'tps', 'pilih', 'serentak', 'minggu']",4,positif,negatif,positif
102,"['terima', 'kasih', 'masyarakat', 'jember', 'jawa', 'timur', 'hadir', 'semarak', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",8,positif,positif,positif
103,"['ultimatum', 'keras', 'cak', 'imin', 'kader', 'pkb', 'menang', 'luluklukman', 'pecat']",-6,negatif,negatif,negatif
104,"['frustasi', 'tertawa', 'edar', 'video', 'tiktok', 'tampil', 'calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'klaim', 'bagi', 'bantu', 'dana', 'rp', 'juta', 'tiktok', 'menit']",5,positif,positif,positif
105,"['video', 'warga', 'jatim', 'kecoh', 'aplikasi', 'majadigi', 'lahir', 'era', 'khofifahemil']",-1,negatif,negatif,negatif
106,['haru'],0,netral,negatif,positif
107,['kerennn'],0,netral,negatif,positif
108,"['jatim', 'kerenn', 'habis']",0,netral,negatif,netral
109,"['nyala', 'kuu']",0,netral,negatif,netral
110,['tabarakallah'],0,netral,negatif,positif
111,"['hadir', 'festival', 'anggur', 'krejengan', 'bu', 'khofifah', 'dukung', 'penuh', 'anggur', 'lambang', 'probolinggo']",-8,negatif,negatif,positif
112,"['selamat', 'pahlawan', 'mari', 'lanjut', 'juang', 'semangat', 'kontribusi', 'nyata', 'bangsa']",10,positif,positif,positif
113,"['kpu', 'kota', 'probolinggo', 'gelar', 'upacara', 'ingat', 'pahlawan', 'november']",0,netral,negatif,netral
114,"['kpu', 'kota', 'probolinggo', 'selamat', 'pahlawan', 'november']",4,positif,positif,positif
115,"['ribu', 'rawan', 'gus', 'ipul', 'nganjuk', 'deklarasi', 'dukung', 'penuh', 'khofifahemil', 'pilgub', 'jatim', 'wujud', 'jatim']",-2,negatif,negatif,positif
116,"['mari', 'sama', 'jawa', 'timur', 'cantiq', 'kampanye', 'akbar', 'lum', 'mari', 'ramai', 'lulukhamidah']",10,positif,positif,positif
117,"['bangun', 'jawa', 'timur', 'semangat', 'mbak', 'lulukhamidah', 'mas', 'lukmanulkhakim']",3,positif,positif,positif
118,"['ayo', 'hadir', 'pesta', 'rakyat', 'jawa', 'timur', 'november', 'jember', 'sport', 'garden', 'kabupaten', 'jember', 'jahat', 'kelamin', 'wib']",0,netral,positif,netral
119,"['ayo', 'hadir', 'pesta', 'rakyat', 'jawa', 'timur', 'november', 'jember', 'sport', 'garden', 'kabupaten', 'jember', 'jahat', 'kelamin', 'wib']",0,netral,positif,netral
120,"['knapa', 'korupsi', 'gibrantweet', 'kaesangp', 'keluarga', 'jokowi', 'amp', 'kroni', 'proses', 'kpkri']",-1,negatif,negatif,negatif
121,"['khofifah', 'ajak', 'generasi', 'muda', 'cinta', 'lestari', 'budaya', 'wayang']",2,positif,negatif,negatif
122,"['wayang', 'ki', 'akbar', 'nganjuk', 'khofifah', 'terima', 'wayang', 'kresna', 'simbol', 'jaya']",6,positif,positif,positif
123,"['temu', 'tokoh', 'agama', 'majelis', 'agung', 'gkjw', 'khofifah', 'tegas', 'komitmen', 'rawat', 'agam', 'jawa', 'timur']",4,positif,positif,positif
124,"['marsruroh', 'wahid', 'ketua', 'muslimat', 'nu', 'komando', 'langsung', 'gerak', 'dukung', 'bu', 'khofifah', 'beliau', 'maju']",7,positif,positif,positif
125,"['kpu', 'kota', 'peobolinggo', 'gelar', 'media', 'gathering', 'siap', 'debat', 'publik', 'satu', 'pemiliban', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'jumat']",7,positif,positif,positif
126,"['juru', 'bicara', 'luluklukman', 'majadigi', 'emil', 'bodoh', 'publik', 'seolaholah', 'cipta', 'era']",0,netral,negatif,netral
127,"['catat', 'iya', 'aplikasi', 'majadigi', 'luncur', 'adhy', 'karyono', 'lahir', 'era', 'khofifahemil']",-1,negatif,negatif,positif
128,"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'satu', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo']",2,positif,positif,netral
129,"['diskusi', 'hangat', 'khofifah', 'tokoh', 'agama', 'gkjw', 'balewiyata', 'malang', 'bahas', 'rukun', 'umat', 'jawa', 'timur', 'harmonis', 'guyub']",0,netral,negatif,netral
130,"['pesta', 'rakyat', 'jawa', 'timur', 'prestasi', 'november', 'sport', 'garden', 'wib', 'gasskeunnn']",4,positif,positif,positif
131,"['kpu', 'kota', 'probolinggo', 'ikut', 'bimbing', 'teknis', 'mantap', 'guna', 'aplikasi', 'uji', 'coba', 'sirekap', 'pilih', 'serentak', 'gelar', 'kpu', 'provinsi', 'seninrabu']",3,positif,positif,positif
132,"['amat', 'politik', 'khofifah', 'kuasa', 'debat', 'pilgub', 'jatim', 'kandidat']",9,positif,positif,positif
133,"['debat', 'khofifah', 'nilai', 'simpati', 'masyarakat', 'berkat', 'solusi', 'prospektif']",12,positif,positif,positif
134,"['debat', 'pilih', 'kepala', 'daerah', 'khofifah', 'raih', 'simpati', 'publik', 'tanggap', 'fakta', 'data', 'hadap', 'serang', 'luluk']",-4,negatif,negatif,negatif
135,"['khofifah', 'kunjung', 'sentra', 'bibit', 'buah', 'nganjuk', 'sukses', 'tembus', 'pasar', 'global']",5,positif,positif,positif
136,"['kpu', 'kota', 'probolinggo', 'selamat', 'sukses', 'iffa', 'rosita', 'mm', 'lantik', 'penggati', 'paw', 'anggota', 'kpu', 'republik', 'indonesia', 'periode']",7,positif,positif,positif
137,"['sindir', 'habis', 'khofifah', 'luluk', 'pasti', 'kantor', 'perintah', 'provinsi', 'jatim', 'geledah', 'kpk']",-3,negatif,negatif,negatif
138,"['berkalikali', 'patah', 'argumen', 'khofifah', 'panggung', 'debat', 'hasil', 'polling', 'luluk', 'lesat']",-2,negatif,negatif,positif
139,"['usung', 'risma', 'cagub', 'jatim', 'hasto', 'megawati', 'duit', 'piro']",0,netral,negatif,netral
140,"['video', 'teman', 'khofifah', 'kampanye', 'ketua', 'pdip', 'trenggalek', 'belabelain', 'seragam', 'muslimat', 'nu']",4,positif,positif,netral
141,"['debat', 'khofifah', 'nilai', 'simpati', 'masyarakat', 'solusi', 'prospektif']",11,positif,positif,positif
142,"['amat', 'tampil', 'khofifahemil', 'debat', 'cermin', 'sosok', 'birokrat', 'kompeten']",5,positif,positif,positif
143,"['khofifah', 'tegas', 'komitmen', 'cegah', 'korupsi', 'birokrasi', 'perintah', 'bersih', 'transparan']",-1,negatif,positif,positif
144,"['kerja', 'nyata', 'khofifahemil', 'periode', 'dorong', 'warga', 'pasar', 'atom', 'dukung']",11,positif,positif,positif
145,"['khofifah', 'dieluelukan', 'dagang', 'unjung', 'pasar', 'atom', 'surabaya', 'lanjut', 'pimpin']",0,netral,positif,netral
146,"['warga', 'tionghoa', 'surabaya', 'antusias', 'dukung', 'khofifah', 'harap', 'periode', 'maju', 'jawa', 'timur']",3,positif,positif,positif
147,"['kpu', 'kota', 'probolinggo', 'gelar', 'rapat', 'teknis', 'siap', 'debat', 'publik', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'senin']",-1,negatif,positif,netral
148,"['emil', 'dardak', 'tanggap', 'paslon', 'nomor', 'urut', 'data', 'fakta']",-3,negatif,negatif,negatif
149,"['khofifah', 'jatim', 'iklim', 'insvestasi', 'baik', 'indonesia', 'tingkat', 'anggur', 'rendah']",-6,negatif,negatif,positif
150,"['khofifah', 'kan', 'hasil', 'perintah', 'provinsi', 'jatim', 'debat', 'pilih', 'kepala', 'daerah']",4,positif,positif,positif
151,"['kpu', 'kota', 'probolinggo', 'gelar', 'rapat', 'koordinasi', 'siap', 'debat', 'publik', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'minggu']",0,netral,positif,netral
152,"['kpu', 'kota', 'probolinggo', 'proses', 'sortir', 'lipat', 'surat', 'suara', 'pilih', 'gubernur', 'wakil', 'gubernur', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'sabtu']",-3,negatif,negatif,negatif
153,"['kpu', 'kota', 'probolinggo', 'terima', 'logistik', 'surat', 'suara', 'pilih', 'gubernur', 'wakil', 'gubernur', 'jawa', 'timur', 'kamis']",0,netral,positif,netral
154,"['khofifah', 'pamer', 'terima', 'harga', 'luluk', 'rakyat', 'jatim', 'miskin']",-3,negatif,negatif,positif
155,"['salam', 'asli', 'palsu', 'komunitas', 'ojol', 'menang', 'rismagus', 'hans']",0,netral,negatif,netral
156,"['damping', 'khofifah', 'kampanye', 'ipin', 'belabelain', 'pakai', 'baju', 'seragam', 'muslimat', 'nu']",7,positif,positif,netral
157,"['debat', 'pilgub', 'jatim', 'harap', 'gus', 'hans', 'debat', 'emil', 'lukman']",6,positif,positif,positif
158,"['luluk', 'senggol', 'khofifah', 'jelang', 'debat', 'jatim', 'ubah', 'gantiin']",6,positif,positif,positif
159,"['tepis', 'dukung', 'khofifah', 'ipin', 'target', 'rismagus', 'hans', 'menang', 'trenggalek']",3,positif,positif,positif
160,"['ipin', 'seragam', 'muslimat', 'nu', 'damping', 'khofifah', 'kampanye', 'gus', 'hans', 'wajar', 'kayak', 'eri', 'cahyadi']",0,netral,positif,netral
161,"['video', 'ketua', 'timses', 'rismagus', 'hans', 'blakblakan', 'jengkel', 'pdip']",-4,negatif,negatif,negatif
162,"['video', 'manuver', 'ketua', 'ansor', 'jatim', 'dukung', 'khofifah', 'baju', 'brigade', 'bunda']",1,positif,positif,positif
163,"['pdip', 'target', 'rismagus', 'hans', 'menang', 'tebal', 'surabaya', 'adi', 'sutarwijono']",1,positif,negatif,negatif
164,"['elektabilitas', 'khofifahemil', 'kokoh', 'angka', 'lawan', 'ngarep', 'kejar']",-8,negatif,negatif,netral
165,"['hasto', 'lecut', 'urus', 'pdip', 'wilayah', 'juang', 'rismagus', 'hans', 'lawan', 'intimidasi']",-8,negatif,negatif,negatif
