tokens_stemmed,bobot_nilai_total,label,tokens_stemmed_string,Prediksi_Naive_Bayes,Probabilitas_NB,Prediksi_Logistic_Regression,Probabilitas_LR
"['direktur', 'eksekutif', 'poltracking', 'indonesia', 'hanta', 'yuda', 'ar', 'prediksi', 'paslon', 'khofifahemil', 'menang', 'pilgub', 'jatim', 'oleh', 'kisar', 'persen', 'kutip', 'youtube', 'poltracking']",6,positif,direktur eksekutif poltracking indonesia hanta yuda ar prediksi paslon khofifahemil menang pilgub jatim oleh kisar persen kutip youtube poltracking,negatif,47.88%,positif,41.36%
"['pasang', 'khofifah', 'indar', 'parawansa', 'emil', 'dardak', 'peluang', 'menang', 'pilgubjawa', 'timur', 'khofifah', 'lawan', 'eks', 'menteri', 'sosial', 'risma', 'eks', 'anggota', 'dpr', 'ri', 'luluk']",-5,negatif,pasang khofifah indar parawansa emil dardak peluang menang pilgubjawa timur khofifah lawan eks menteri sosial risma eks anggota dpr ri luluk,negatif,80.36%,negatif,49.78%
"['direktur', 'eksekutif', 'poltracking', 'indonesia', 'hanta', 'yuda', 'ar', 'prediksi', 'paslon', 'khofifahemil', 'menang', 'pilgub', 'jatim', 'oleh', 'kisar', 'persen', 'kutip', 'youtube', 'poltracking']",6,positif,direktur eksekutif poltracking indonesia hanta yuda ar prediksi paslon khofifahemil menang pilgub jatim oleh kisar persen kutip youtube poltracking,negatif,47.88%,positif,41.36%
"['pasang', 'khofifah', 'emil', 'peluang', 'menang', 'pilgub', 'jawa', 'timur', 'beliau', 'lawan', 'eks', 'menteri', 'sosial', 'risma', 'an', 'eks', 'anggota', 'dpr', 'ri', 'luluk']",-5,negatif,pasang khofifah emil peluang menang pilgub jawa timur beliau lawan eks menteri sosial risma an eks anggota dpr ri luluk,negatif,71.67%,negatif,43.01%
"['pasang', 'khofifah', 'indar', 'parawansa', 'emil', 'dardak', 'peluang', 'menang', 'pilih', 'gubernur', 'jawa', 'timur', 'khofifah', 'lawan', 'eks', 'menteri', 'sosial', 'tri', 'rismaharini', 'eks', 'anggota', 'dpr', 'ri', 'luluk', 'nur', 'hamidah']",-7,negatif,pasang khofifah indar parawansa emil dardak peluang menang pilih gubernur jawa timur khofifah lawan eks menteri sosial tri rismaharini eks anggota dpr ri luluk nur hamidah,negatif,81.62%,negatif,53.56%
"['ribu', 'kerja', 'pt', 'integra', 'indocabinet', 'sambut', 'datang', 'calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'kawasan', 'sedat', 'sidoarjo', 'rabu', 'sore']",-3,negatif,ribu kerja pt integra indocabinet sambut datang calon gubernur jawa timur nomor urut khofifah indar parawansa kawasan sedat sidoarjo rabu sore,negatif,53.91%,positif,40.63%
"['survei', 'poltracking', 'khofifahemil', 'peluang', 'menang', 'tebal', 'pilgub', 'jatim']",-1,negatif,survei poltracking khofifahemil peluang menang tebal pilgub jatim,negatif,61.15%,negatif,37.07%
"['survei', 'arci', 'khofifahemil', 'sapu', 'bersih', 'daerah', 'mataraman', 'rismagus', 'hans', 'susah', 'kerek']",-6,negatif,survei arci khofifahemil sapu bersih daerah mataraman rismagus hans susah kerek,negatif,59.38%,negatif,40.66%
"['kpu', 'kota', 'probolinggo', 'gelar', 'media', 'gadthering', 'siap', 'debat', 'publik', 'tiga', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'rabu']",1,positif,kpu kota probolinggo gelar media gadthering siap debat publik tiga pilih wali kota wakil wali kota probolinggo rabu,positif,56.36%,netral,43.03%
"['perempuan', 'muda', 'gabung', 'aliansi', 'melati', 'putih', 'sejawa', 'timur', 'solid', 'tingkat', 'signifikansi', 'menang', 'khofifahemil', 'pilgub', 'jatim']",-16,negatif,perempuan muda gabung aliansi melati putih sejawa timur solid tingkat signifikansi menang khofifahemil pilgub jatim,negatif,65.37%,negatif,52.74%
"['h', 'coblos', 'dukung', 'elemen', 'masyarakat', 'calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'tambah']",7,positif,h coblos dukung elemen masyarakat calon gubernur jawa timur nomor urut khofifah indar parawansa tambah,positif,62.20%,positif,57.71%
"['lanjut', 'bu', 'khofifah', 'gubernur', 'prestasi', 'perhati', 'rakyat', 'jujur', 'ramah', 'lanjut', 'periode', 'pilih', 'nomor', 'teriak', 'rahayah', 'koordinator', 'kerja', 'sekar', 'laut']",4,positif,lanjut bu khofifah gubernur prestasi perhati rakyat jujur ramah lanjut periode pilih nomor teriak rahayah koordinator kerja sekar laut,positif,66.61%,positif,45.96%
"['lanjut', 'bu', 'khofifah', 'gubernur', 'prestasi', 'perhati', 'rakyat', 'jujur', 'ramah', 'lanjut', 'periode', 'pilih', 'nomor', 'teriak', 'rahayah', 'koordinator', 'kerja', 'sekar', 'laut']",4,positif,lanjut bu khofifah gubernur prestasi perhati rakyat jujur ramah lanjut periode pilih nomor teriak rahayah koordinator kerja sekar laut,positif,66.61%,positif,45.96%
"['calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'sapa', 'karyawan', 'kerupuk', 'finna', 'pt', 'sekar', 'laut', 'kawasan', 'jenggolo', 'sidoarjo', 'rabu']",8,positif,calon gubernur jawa timur nomor urut khofifah indar parawansa sapa karyawan kerupuk finna pt sekar laut kawasan jenggolo sidoarjo rabu,negatif,49.06%,positif,44.09%
"['undang', 'kampanye', 'akbar', 'buka', 'masyarakat', 'surabaya', 'jawa', 'timur']",5,positif,undang kampanye akbar buka masyarakat surabaya jawa timur,positif,82.51%,positif,70.01%
"['jatim', 'periode', 'pimpin', 'khofifah', 'emil', 'kelola', 'juta', 'ton', 'sampah']",-2,negatif,jatim periode pimpin khofifah emil kelola juta ton sampah,negatif,47.03%,positif,38.14%
"['tiga', 'paslon', 'paham', 'isu', 'perspektif', 'gender', 'bangun', 'iya', 'mbak', 'luluk', 'rekk', 'bospurwa', 'mdyasmara', 'yusufdumdum', 'firzahusain', 'jhonsitorus']",-1,negatif,tiga paslon paham isu perspektif gender bangun iya mbak luluk rekk bospurwa mdyasmara yusufdumdum firzahusain jhonsitorus,negatif,46.86%,negatif,40.31%
"['komitmen', 'kuat', 'gubernur', 'wakil', 'gubernur', 'bangun', 'jawa', 'timur', 'modern', 'selasa', 'november']",2,positif,komitmen kuat gubernur wakil gubernur bangun jawa timur modern selasa november,positif,74.18%,positif,52.80%
"['komitmen', 'kuat', 'gubernur', 'wakil', 'gubernur', 'bangun', 'jawa', 'timur', 'modern', 'selasa', 'november']",2,positif,komitmen kuat gubernur wakil gubernur bangun jawa timur modern selasa november,positif,74.18%,positif,52.80%
"['hasil', 'khofifah', 'emil', 'pacu', 'maju', 'jawa', 'timur', 'nilai', 'dampak', 'elektoral', 'dorong', 'kalang', 'pilih', 'khofifahemil', 'periode']",3,positif,hasil khofifah emil pacu maju jawa timur nilai dampak elektoral dorong kalang pilih khofifahemil periode,positif,56.23%,netral,42.51%
"['bagus', 'tinggal', 'terus', 'depan', 'jawa', 'timur', 'seksi', 'posisi', 'jakarta', 'sisi', 'investasi', 'yusak']",-7,negatif,bagus tinggal terus depan jawa timur seksi posisi jakarta sisi investasi yusak,negatif,68.42%,negatif,42.50%
"['khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'pacu', 'maju', 'jawa', 'timur', 'nilai', 'dampak', 'elektoral', 'dorong', 'kalang', 'pilih', 'khofifahemil', 'periode']",0,netral,khofifah indar parawansaemil elestianto dardak pacu maju jawa timur nilai dampak elektoral dorong kalang pilih khofifahemil periode,positif,60.27%,netral,39.09%
"['emil', 'dardak', 'ungkap', 'khofifah', 'indar', 'parawansa', 'tolak', 'tawar', 'investasi', 'nilai', 'khawatir', 'dampak', 'buruk', 'lingkung']",-15,negatif,emil dardak ungkap khofifah indar parawansa tolak tawar investasi nilai khawatir dampak buruk lingkung,negatif,74.00%,negatif,51.19%
"['emil', 'elestianto', 'dardak', 'ungkap', 'khofifah', 'indar', 'parawansa', 'tolak', 'tawar', 'investasi', 'nilai', 'khawatir', 'dampak', 'buruk', 'lingkung']",-15,negatif,emil elestianto dardak ungkap khofifah indar parawansa tolak tawar investasi nilai khawatir dampak buruk lingkung,negatif,75.33%,negatif,52.71%
"['investasi', 'bawa', 'manfaat', 'semangat', 'lanjut']",3,positif,investasi bawa manfaat semangat lanjut,negatif,50.08%,negatif,40.75%
"['hasto', 'rasa', 'arus', 'dukung', 'rismagus', 'hans', 'target', 'menang']",1,positif,hasto rasa arus dukung rismagus hans target menang,negatif,59.69%,positif,38.80%
"['pasang', 'calon', 'paslon', 'gubernurwakil', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'kokoh', 'pasang', 'nomor', 'urut', 'unggul', 'lembaga', 'survei', 'teliti', 'kembang', 'kompas', 'lsi', 'indikator', 'politik', 'poltracking']",4,positif,pasang calon paslon gubernurwakil gubernur jawa timur nomor urut khofifah indar parawansaemil elestianto dardak kokoh pasang nomor urut unggul lembaga survei teliti kembang kompas lsi indikator politik poltracking,positif,83.32%,positif,52.78%
"['kualitas', 'bangett', 'closing', 'statement', 'nya']",2,positif,kualitas bangett closing statement nya,negatif,48.36%,negatif,41.03%
"['sehat', 'bu', 'khofifah']",3,positif,sehat bu khofifah,positif,66.06%,positif,50.62%
['pilih'],-2,negatif,pilih,negatif,59.94%,negatif,83.78%
"['sungguh', 'mulia', 'bu', 'khofifah']",3,positif,sungguh mulia bu khofifah,positif,53.76%,positif,41.21%
"['bu', 'khofifah', 'baik']",2,positif,bu khofifah baik,positif,56.08%,positif,45.31%
"['calon', 'wakil', 'gubernur', 'cawagub', 'jawa', 'timur', 'jatim', 'adu', 'gagas', 'bangun', 'sarana', 'transportasi', 'krl', 'debat', 'publik', 'pilgun', 'jatim', 'tiga', 'grand', 'city', 'surabaya', 'senin']",0,netral,calon wakil gubernur cawagub jawa timur jatim adu gagas bangun sarana transportasi krl debat publik pilgun jatim tiga grand city surabaya senin,positif,65.92%,netral,43.62%
"['khofifahemil', 'jawa', 'timur', 'maju', 'prestasi', 'm']",0,netral,khofifahemil jawa timur maju prestasi m,negatif,47.71%,netral,48.13%
"['mbak', 'luluk', 'hadir', 'ibuibu', 'cilik', 'bospurwa', 'mdyasmara', 'yusufdumdum', 'firzahusain', 'bdoel']",-1,negatif,mbak luluk hadir ibuibu cilik bospurwa mdyasmara yusufdumdum firzahusain bdoel,negatif,50.99%,negatif,43.15%
"['sekretaris', 'jenderal', 'pdip', 'puji', 'habis', 'gagas', 'moncer', 'rismagus', 'hans', 'khofifah']",4,positif,sekretaris jenderal pdip puji habis gagas moncer rismagus hans khofifah,negatif,59.07%,negatif,37.18%
"['debat', 'gelar', 'grand', 'city', 'surabaya', 'times', 'tv', 'times', 'indonesia', 'tayang', 'ajang', 'adu', 'ide', 'gagas', 'paslon', 'buka', 'jajak', 'dapat', 'polling']",5,positif,debat gelar grand city surabaya times tv times indonesia tayang ajang adu ide gagas paslon buka jajak dapat polling,positif,65.94%,positif,50.78%
"['khofifah', 'indar', 'parawansa', 'emil', 'elestianto', 'dardak', 'komitmen', 'jadi', 'jatim', 'gerbang', 'nusantara']",-1,negatif,khofifah indar parawansa emil elestianto dardak komitmen jadi jatim gerbang nusantara,negatif,61.46%,negatif,39.51%
"['khofifah', 'bangun', 'infrastruktur', 'komitmen', 'tingkat', 'konektivitas']",1,positif,khofifah bangun infrastruktur komitmen tingkat konektivitas,positif,76.85%,positif,63.30%
"['khofifah', 'indar', 'parawansa', 'emil', 'elestianto', 'dardak', 'komitmen', 'jadi', 'jatim', 'gerbang', 'nusantara']",-1,negatif,khofifah indar parawansa emil elestianto dardak komitmen jadi jatim gerbang nusantara,negatif,61.46%,negatif,39.51%
"['khofifah', 'indar', 'parawansaemil', 'elestianto', 'dardak', 'tampil', 'gemilang', 'debat', 'pungkas', 'pilgub', 'jatim', 'nilai', 'milik', 'kompetensi', 'mumpuni', 'alam', 'bukti']",8,positif,khofifah indar parawansaemil elestianto dardak tampil gemilang debat pungkas pilgub jatim nilai milik kompetensi mumpuni alam bukti,positif,73.21%,positif,59.23%
"['kpu', 'kota', 'probolinggo', 'selamat', 'suksestanwir', 'milad', 'muhammadiyah', 'hadir', 'makmur']",7,positif,kpu kota probolinggo selamat suksestanwir milad muhammadiyah hadir makmur,positif,55.90%,positif,41.07%
"['hasto', 'turun', 'dukung', 'debat', 'pamungkas', 'risma', 'apbd', 'jatim', 'sehat']",8,positif,hasto turun dukung debat pamungkas risma apbd jatim sehat,positif,59.65%,positif,56.39%
"['emil', 'dardak', 'bu', 'khofifah', 'tolak', 'tambang', 'rusak', 'lingkung', 'pangan']",-5,negatif,emil dardak bu khofifah tolak tambang rusak lingkung pangan,negatif,56.75%,positif,37.57%
"['khofifahemil', 'fokus', 'lebar', 'jalan', 'nasional', 'probolinggolumajang']",1,positif,khofifahemil fokus lebar jalan nasional probolinggolumajang,positif,63.62%,positif,51.84%
"['khofifah', 'merespon', 'tanggap', 'paslon', 'nomor', 'urut', 'kelola', 'sampah']",2,positif,khofifah merespon tanggap paslon nomor urut kelola sampah,negatif,50.71%,negatif,35.30%
"['khofifahemil', 'visi', 'misi', 'sdm', 'jawa', 'timur', 'milik', 'kompetensi']",6,positif,khofifahemil visi misi sdm jawa timur milik kompetensi,positif,72.34%,positif,50.78%
"['jatim', 'debat', 'publik', 'gelar', 'malam', 'survei', 'nomor', 'angin', 'menang', 'salah', 'simak', 'debat', 'sumber', 'video', 'kpu', 'jatim']",0,netral,jatim debat publik gelar malam survei nomor angin menang salah simak debat sumber video kpu jatim,positif,72.79%,positif,46.59%
"['semangat', 'doa', 'dukung', 'alir', 'masyarakat', 'khofifahemil', 'foto', 'pasar', 'minggu', 'kampung', 'wonocolo', 'surabaya', 'minggu']",10,positif,semangat doa dukung alir masyarakat khofifahemil foto pasar minggu kampung wonocolo surabaya minggu,positif,70.50%,positif,64.27%
"['rumah', 'kader', 'pks', 'menang', 'khofifahemil', 'arumi']",2,positif,rumah kader pks menang khofifahemil arumi,negatif,66.70%,negatif,46.48%
"['pilih', 'kepala', 'daerah', 'serentak', 'wapres', 'gibran', 'dukung', 'paslon', 'gubernur', 'jawa', 'timur', 'khofifahemil', 'dardak', 'protes']",2,positif,pilih kepala daerah serentak wapres gibran dukung paslon gubernur jawa timur khofifahemil dardak protes,positif,64.65%,positif,68.06%
"['jalan', 'sehat', 'bareng', 'rismagus', 'hans', 'eriarmuji', 'warga', 'surabaya', 'tumplek', 'blek']",3,positif,jalan sehat bareng rismagus hans eriarmuji warga surabaya tumplek blek,positif,71.08%,positif,62.96%
"['luluk', 'pegang', 'keris', 'tegas', 'peran', 'perempuan', 'sejarah', 'budaya']",-6,negatif,luluk pegang keris tegas peran perempuan sejarah budaya,negatif,69.88%,negatif,58.13%
"['dar', 'tugas', 'partai', 'pdip']",-1,negatif,dar tugas partai pdip,negatif,75.19%,negatif,57.09%
"['jatim', 'juara', 'korupsi', 'eks', 'ketua', 'kpk', 'dukung', 'rismagus', 'hans']",-3,negatif,jatim juara korupsi eks ketua kpk dukung rismagus hans,negatif,71.08%,negatif,50.71%
"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'jumat']",2,positif,kpu kota probolinggo gelar debat publik pilih wali kota wakil wali kota probolinggo jumat,positif,56.94%,netral,45.57%
"['gencar', 'serang', 'khofifah', 'panggung', 'debat', 'elektabilitas', 'luluk', 'tenggelam']",-1,negatif,gencar serang khofifah panggung debat elektabilitas luluk tenggelam,negatif,54.49%,positif,39.61%
"['bismillah', 'niat', 'in', 'shaa', 'allah', 'jatim', 'gubernur', 'jatim', 'toto', 'tentrem', 'kerto', 'raharjo', 'gemah', 'ripah', 'loh', 'jawi']",9,positif,bismillah niat in shaa allah jatim gubernur jatim toto tentrem kerto raharjo gemah ripah loh jawi,positif,61.55%,positif,46.20%
"['ojo', 'lali', 'arek', 'jatim', 'anak', 'abah', 'ojo', 'salah', 'pilih', 'iya', 'eling', 'nomor']",-10,negatif,ojo lali arek jatim anak abah ojo salah pilih iya eling nomor,negatif,61.39%,negatif,47.63%
"['calon', 'gubernur', 'jawa', 'timur', 'nomor', 'urut', 'khofifah', 'indar', 'parawansa', 'sambang', 'pasar', 'jumat', 'legi', 'desa', 'jogosatru', 'camat', 'sukodono', 'kabupaten', 'sidoarjo']",4,positif,calon gubernur jawa timur nomor urut khofifah indar parawansa sambang pasar jumat legi desa jogosatru camat sukodono kabupaten sidoarjo,negatif,51.81%,positif,42.96%
"['video', 'megawati', 'ultimatum', 'kader', 'pdip', 'menang', 'rismagus', 'hans', 'nurut', 'out']",-1,negatif,video megawati ultimatum kader pdip menang rismagus hans nurut out,negatif,74.47%,negatif,52.20%
"['deklarasi', 'dukung', 'tenaga', 'sehat', 'muda', 'jatim', 'khofifahemil', 'jatim', 'sehat', 'sejahtera']",8,positif,deklarasi dukung tenaga sehat muda jatim khofifahemil jatim sehat sejahtera,positif,70.28%,positif,58.11%
"['khofifah', 'tegas', 'birokrasi', 'jatim', 'transparan']",3,positif,khofifah tegas birokrasi jatim transparan,positif,73.34%,positif,58.36%
"['kpu', 'kota', 'probolinggo', 'gelar', 'media', 'gathering', 'siap', 'depat', 'publik', 'pilih', 'wali', 'wakil', 'wali', 'kota', 'probolinggo', 'rabu']",-1,negatif,kpu kota probolinggo gelar media gathering siap depat publik pilih wali wakil wali kota probolinggo rabu,positif,54.98%,netral,36.86%
"['khofifah', 'dukung', 'tenaga', 'sehat', 'tegas', 'komitmen', 'bidang', 'sehat', 'jawa', 'timur']",13,positif,khofifah dukung tenaga sehat tegas komitmen bidang sehat jawa timur,positif,81.56%,positif,70.37%
"['ketua', 'pcnu', 'magetan', 'kh', 'susanto', 'khoirul', 'fatwa', 'doa', 'khofifahemil', 'lanjut', 'pimpin', 'jatim', 'periode']",-3,negatif,ketua pcnu magetan kh susanto khoirul fatwa doa khofifahemil lanjut pimpin jatim periode,negatif,65.25%,negatif,47.75%
"['mas', 'lin', 'damping', 'khofifah', 'shalawat', 'akbar', 'tegas', 'dukung', 'bumi', 'shalawat', 'menang', 'khofifah', 'emil']",4,positif,mas lin damping khofifah shalawat akbar tegas dukung bumi shalawat menang khofifah emil,positif,60.51%,positif,52.43%
"['adu', 'visi', 'misi', 'cagub', 'jatim', 'jago']",2,positif,adu visi misi cagub jatim jago,positif,53.26%,netral,36.69%
"['luluk', 'birokrasi', 'transparan', 'orang']",3,positif,luluk birokrasi transparan orang,positif,53.14%,positif,46.57%
"['anakogi', 'presiden', 'prabowo', 'ngakunya', 'macan', 'asia', 'kucing', 'solo', 'nurut', 'blaaas', 'jokowi', 'nurut', 'takut', 'sandera', 'korupsi', 'hahaha']",-2,negatif,anakogi presiden prabowo ngakunya macan asia kucing solo nurut blaaas jokowi nurut takut sandera korupsi hahaha,negatif,66.76%,negatif,46.97%
"['kpu', 'kota', 'probolinggo', 'ikut', 'rapat', 'monitoring', 'evaluasi', 'kesiap', 'selenggara', 'pilih', 'serentak', 'selasa']",-2,negatif,kpu kota probolinggo ikut rapat monitoring evaluasi kesiap selenggara pilih serentak selasa,positif,55.66%,positif,45.24%
"['megawati', 'ultimatum', 'kader', 'pdip', 'menang', 'rismagus', 'hans', 'nurut', 'sila', 'out']",-4,negatif,megawati ultimatum kader pdip menang rismagus hans nurut sila out,negatif,76.21%,negatif,53.37%
"['khofifah', 'indar', 'parawansa', 'lanjut', 'blusukan', 'pasar', 'kalianak', 'surabaya']",-3,negatif,khofifah indar parawansa lanjut blusukan pasar kalianak surabaya,negatif,72.04%,negatif,54.49%
"['bersholawat', 'pondok', 'pesantren', 'bumi', 'sholawat', 'lebo', 'sidoarjo', 'asuh', 'kh', 'agus', 'ali', 'masyhur']",0,netral,bersholawat pondok pesantren bumi sholawat lebo sidoarjo asuh kh agus ali masyhur,negatif,52.47%,negatif,39.95%
"['survei', 'baru', 'pilgub', 'jatim', 'elektabilitas', 'khofifahemil', 'kokoh']",0,netral,survei baru pilgub jatim elektabilitas khofifahemil kokoh,positif,45.60%,netral,53.65%
"['langkah', 'luluk', 'dekat', 'anies', 'nilai', 'kuat', 'dukung', 'anak', 'abah']",9,positif,langkah luluk dekat anies nilai kuat dukung anak abah,positif,50.93%,positif,43.64%
"['khofifahemil', 'unggul', 'survei', 'lsi', 'denny', 'pimpin', 'jatim']",0,netral,khofifahemil unggul survei lsi denny pimpin jatim,positif,75.89%,positif,54.97%
"['kpu', 'kota', 'probolinggo', 'gelar', 'debat', 'publik', 'satu', 'pilih', 'wali', 'kota', 'wakil', 'wali', 'kota', 'probolinggo', 'jumat']",4,positif,kpu kota probolinggo gelar debat publik satu pilih wali kota wakil wali kota probolinggo jumat,positif,64.11%,netral,40.61%
"['luluk', 'sindir', 'keras', 'khofifah', 'gubernur', 'kantor', 'diobrakabrik', 'kpk']",-3,negatif,luluk sindir keras khofifah gubernur kantor diobrakabrik kpk,negatif,68.33%,negatif,51.02%
"['foto', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",6,positif,foto kampanye akbar khofifahemil jember sport garden jember minggu,positif,80.79%,positif,54.26%
"['dokumentasi', 'foto', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",6,positif,dokumentasi foto kampanye akbar khofifahemil jember sport garden jember minggu,positif,80.79%,positif,54.26%
"['terimakasih', 'warga', 'jember', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",8,positif,terimakasih warga jember kampanye akbar khofifahemil jember sport garden jember minggu,positif,77.99%,positif,50.89%
"['hasil', 'foto', 'drone', 'media', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu', 'hadir', 'ribu', 'warga', 'jawa', 'timur']",8,positif,hasil foto drone media kampanye akbar khofifahemil jember sport garden jember minggu hadir ribu warga jawa timur,positif,85.42%,positif,59.14%
"['anies', 'baswedan', 'temu', 'luluk', 'anak', 'abah', 'pilih', 'pilgub', 'jatim']",0,netral,anies baswedan temu luluk anak abah pilih pilgub jatim,positif,50.95%,netral,40.66%
"['usaha', 'jasa', 'konstruksi', 'banyuwangi', 'solid', 'dukung', 'khofifahemil', 'wujud', 'jatim', 'maju', 'kuat']",6,positif,usaha jasa konstruksi banyuwangi solid dukung khofifahemil wujud jatim maju kuat,positif,53.63%,positif,43.96%
"['khofifahemil', 'tampil', 'jember', 'pamer', 'prestasi', 'dukung', 'warga', 'jatim', 'kuat', 'gemilang']",-2,negatif,khofifahemil tampil jember pamer prestasi dukung warga jatim kuat gemilang,negatif,52.09%,positif,41.00%
"['riah', 'penuh', 'semangat', 'khofifahemil', 'jadi', 'jawa', 'timur', 'prestasi', 'terima', 'kasih', 'jember']",8,positif,riah penuh semangat khofifahemil jadi jawa timur prestasi terima kasih jember,positif,78.31%,positif,60.40%
"['sama', 'semangat', 'ribu', 'dukung', 'jember', 'jawa', 'timur', 'maju', 'khofifahemil']",10,positif,sama semangat ribu dukung jember jawa timur maju khofifahemil,positif,61.86%,positif,53.78%
"['terima', 'kasih', 'jember', 'kampanye', 'akbar', 'penuh', 'sama', 'semangat', 'jawa', 'timur']",12,positif,terima kasih jember kampanye akbar penuh sama semangat jawa timur,positif,86.09%,positif,69.43%
"['suasana', 'riah', 'guyur', 'hujan', 'ribu', 'masyarakat', 'jember', 'khofifahemil', 'jawa', 'timur']",6,positif,suasana riah guyur hujan ribu masyarakat jember khofifahemil jawa timur,positif,73.47%,positif,55.97%
"['dukung', 'ribu', 'dukung', 'jember', 'semangat', 'jatim', 'maju', 'bendung']",8,positif,dukung ribu dukung jember semangat jatim maju bendung,positif,58.93%,positif,52.70%
"['kpu', 'kota', 'probolinggo', 'gelar', 'bimbing', 'teknis', 'tata', 'isi', 'c', 'hasil', 'proses', 'mungut', 'hitung', 'suara', 'tps', 'pilih', 'serentak', 'minggu']",4,positif,kpu kota probolinggo gelar bimbing teknis tata isi c hasil proses mungut hitung suara tps pilih serentak minggu,negatif,48.73%,positif,46.72%
"['terima', 'kasih', 'masyarakat', 'jember', 'jawa', 'timur', 'hadir', 'semarak', 'kampanye', 'akbar', 'khofifahemil', 'jember', 'sport', 'garden', 'jember', 'minggu']",8,positif,terima kasih masyarakat jember jawa timur hadir semarak kampanye akbar khofifahemil jember sport garden jember minggu,positif,86.00%,positif,56.32%
"['ultimatum', 'keras', 'cak', 'imin', 'kader', 'pkb', 'menang', 'luluklukman', 'pecat']",-6,negatif,ultimatum keras cak imin kader pkb menang luluklukman pecat,negatif,80.75%,negatif,61.57%
